Mod1,Mod2,Mod3,c_total,Cd,Pb
9945,119,72335,0,0.0,0.0
9596,119,110542,0,0.0,0.0
10812,120,98594,0,0.0,0.0
10786,117,82977,0,0.0,0.0
10566,108,136416,14,0.0,14.0
8495,120,131672,14,0.0,14.0
9985,126,139039,14,0.0,14.0
9742,127,154323,14,0.0,14.0
23429,136,62430,14,14.0,0.0
35559,332,81046,14,14.0,0.0
34946,277,77537,14,14.0,0.0
28079,417,86566,14,14.0,0.0
18738,142,161835,14,11.2,2.8
23158,123,145455,14,11.2,2.8
16340,129,112713,14,11.2,2.8
16957,138,153859,14,11.2,2.8
19491,133,186314,14,8.4,5.6
18954,120,149079,14,8.4,5.6
18774,118,120807,14,8.4,5.6
26959,143,157330,14,8.4,5.6
10412,101,95515,14,5.6,8.4
12605,130,125010,14,5.6,8.4
9879,130,87882,14,5.6,8.4
10989,119,145086,14,5.6,8.4
8298,113,99239,14,2.8,11.2
10400,134,96528,14,2.8,11.2
8333,109,124492,14,2.8,11.2
8563,130,113979,14,2.8,11.2
11632,138,127901,20,0.0,20.0
11676,137,142494,20,0.0,20.0
9769,134,135117,20,0.0,20.0
10692,151,136432,20,0.0,20.0
9785,138,159554,20,4.0,16.0
10929,131,179245,20,4.0,16.0
9951,134,150528,20,4.0,16.0
11356,140,19534,20,4.0,16.0
12939,133,108785,20,8.0,12.0
16802,195,128542,20,8.0,12.0
13602,180,131752,20,8.0,12.0
16265,185,127914,20,8.0,12.0
7919,203,100680,20,12.0,8.0
8729,153,116421,20,12.0,8.0
8805,146,156677,20,12.0,8.0
9032,159,127834,20,12.0,8.0
10476,146,154556,20,16.0,4.0
12249,130,174541,20,16.0,4.0
11506,134,193872,20,16.0,4.0
12435,150,141427,20,16.0,4.0
19194,275,159165,20,20.0,0.0
18007,243,169449,20,20.0,0.0
17680,243,185637,20,20.0,0.0
15306,186,149696,20,20.0,0.0
10847,273,116796,35,0.0,35.0
11204,305,142378,35,0.0,35.0
11248,283,112888,35,0.0,35.0
11833,372,123683,35,0.0,35.0
13823,153,124594,35,7.0,28.0
13503,152,143333,35,7.0,28.0
15494,164,151065,35,7.0,28.0
14678,165,158102,35,7.0,28.0
18501,207,184314,35,14.0,21.0
22577,171,171769,35,14.0,21.0
20597,271,138677,35,14.0,21.0
24566,269,161573,35,14.0,21.0
31195,363,173957,35,21.0,14.0
30469,620,152273,35,21.0,14.0
29045,453,159813,35,21.0,14.0
32682,421,157981,35,21.0,14.0
66158,535,163907,35,28.0,7.0
78631,446,207700,35,28.0,7.0
75201,345,167851,35,28.0,7.0
65721,426,132334,35,28.0,7.0
104731,1302,167780,35,35.0,0.0
104439,2008,191698,35,35.0,0.0
105732,971,132590,35,35.0,0.0
101419,2303,169433,35,35.0,0.0
14170,317,120104,50,0.0,50.0
17201,293,118509,50,0.0,50.0
13893,677,92671,50,0.0,50.0
16480,315,91919,50,0.0,50.0
32936,735,138529,50,10.0,40.0
29677,9139,87101,50,10.0,40.0
29201,2704,128296,50,10.0,40.0
33264,554,121097,50,10.0,40.0
26289,4941,149906,50,20.0,30.0
35781,3700,146070,50,20.0,30.0
35837,1050,182639,50,20.0,30.0
37275,2940,107854,50,20.0,30.0
49520,2261,210270,50,30.0,20.0
55911,4488,159344,50,30.0,20.0
60826,3300,224063,50,30.0,20.0
44424,2947,198596,50,30.0,20.0
154564,5905,111202,50,40.0,10.0
164171,12808,132575,50,40.0,10.0
160491,12002,133933,50,40.0,10.0
175474,7024,139189,50,40.0,10.0
223761,24903,146178,50,50.0,0.0
216243,23502,125745,50,50.0,0.0
223508,23349,135933,50,50.0,0.0
213560,23093,134848,50,50.0,0.0
16203,671,94500,70,0.0,70.0
18171,343,116049,70,0.0,70.0
15992,215,69177,70,0.0,70.0
17609,222,110740,70,0.0,70.0
43092,797,147371,70,14.0,56.0
41822,2300,88373,70,14.0,56.0
44422,1349,142757,70,14.0,56.0
41598,865,132611,70,14.0,56.0
87361,2550,114837,70,28.0,42.0
100951,3837,124456,70,28.0,42.0
97565,4088,133913,70,28.0,42.0
83256,2328,120473,70,28.0,42.0
173386,19781,133982,70,42.0,28.0
154452,13000,148456,70,42.0,28.0
159590,14495,145514,70,42.0,28.0
168611,14834,157972,70,42.0,28.0
247732,35071,175295,70,56.0,14.0
255930,41322,160807,70,56.0,14.0
259255,37516,185161,70,56.0,14.0
265474,33932,171263,70,56.0,14.0
290858,40473,164313,70,70.0,0.0
295705,39551,171880,70,70.0,0.0
279909,34872,96314,70,70.0,0.0
300749,39838,163420,70,70.0,0.0
20057,500,51313,100,0.0,100.0
38039,1221,62526,100,0.0,100.0
23440,677,65109,100,0.0,100.0
22401,1223,55434,100,0.0,100.0
61961,6818,78435,100,20.0,80.0
73800,5173,90558,100,20.0,80.0
57774,5416,93798,100,20.0,80.0
59842,6878,82562,100,20.0,80.0
183168,16289,82026,100,40.0,60.0
170671,18225,73725,100,40.0,60.0
170236,16825,82863,100,40.0,60.0
174644,16448,86867,100,40.0,60.0
264368,35474,132740,100,60.0,40.0
258626,34060,121985,100,60.0,40.0
254075,35391,135971,100,60.0,40.0
253888,34095,133909,100,60.0,40.0
281426,37688,140102,100,80.0,20.0
285605,42466,153078,100,80.0,20.0
269179,32815,151762,100,80.0,20.0
286019,41552,150591,100,80.0,20.0
280568,39300,146731,100,100.0,0.0
292224,39572,153068,100,100.0,0.0
288842,38661,106175,100,100.0,0.0
274833,34426,145074,100,100.0,0.0
35378,7998,51276,200,0.0,200.0
32365,7653,52215,200,0.0,200.0
31259,7282,54850,200,0.0,200.0
32540,8047,56799,200,0.0,200.0
161962,15145,62580,200,40.0,160.0
155142,13694,69520,200,40.0,160.0
163432,16606,59335,200,40.0,160.0
171637,15250,68377,200,40.0,160.0
276805,19200,85736,200,80.0,120.0
276126,19489,89829,200,80.0,120.0
274937,19463,81492,200,80.0,120.0
280833,19340,82573,200,80.0,120.0
275771,25928,87516,200,120.0,80.0
284521,25269,97852,200,120.0,80.0
272678,25384,85761,200,120.0,80.0
289485,22529,94715,200,120.0,80.0
304601,33825,158653,200,160.0,40.0
289544,31273,169592,200,160.0,40.0
292101,33127,175015,200,160.0,40.0
299994,34442,164703,200,160.0,40.0
297504,35586,198080,200,200.0,0.0
302755,36080,197300,200,200.0,0.0
299300,35471,195748,200,200.0,0.0
304263,34638,179110,200,200.0,0.0
54414,1307,5650,500,0.0,500.0
49700,1278,6946,500,0.0,500.0
52575,1370,6282,500,0.0,500.0
50307,165,6858,500,0.0,500.0
237826,2765,12813,500,100.0,400.0
223769,2731,12492,500,100.0,400.0
228329,3068,11172,500,100.0,400.0
221911,3355,11517,500,100.0,400.0
236944,5198,25659,500,200.0,300.0
220705,5359,29161,500,200.0,300.0
238666,4807,24801,500,200.0,300.0
240938,4567,24312,500,200.0,300.0
218821,4528,25786,500,300.0,200.0
213482,4246,23842,500,300.0,200.0
219984,4117,25277,500,300.0,200.0
206275,3444,24015,500,300.0,200.0
214111,9454,34629,500,400.0,100.0
212326,11206,51298,500,400.0,100.0
214111,10751,47725,500,400.0,100.0
215897,10690,75298,500,400.0,100.0
210794,15377,93931,500,500.0,0.0
201692,14424,124867,500,500.0,0.0
208795,16743,157574,500,500.0,0.0
212019,15225,122101,500,500.0,0.0
122833,2098,7382,1000,0.0,1000.0
50727,2051,7016,1000,0.0,1000.0
51473,1977,7029,1000,0.0,1000.0
51807,2451,7074,1000,0.0,1000.0
172842,2668,8762,1000,200.0,800.0
177856,2619,7551,1000,200.0,800.0
177856,2708,7781,1000,200.0,800.0
182870,2708,7797,1000,200.0,800.0
172839,3213,15782,1000,400.0,600.0
174135,3068,14538,1000,400.0,600.0
170808,3227,14649,1000,400.0,600.0
173815,3282,13367,1000,400.0,600.0
163486,2114,13363,1000,600.0,400.0
153707,2261,12264,1000,600.0,400.0
172020,1974,9477,1000,600.0,400.0
169476,2097,12526,1000,600.0,400.0
160990,4444,35862,1000,800.0,200.0
163758,3797,37242,1000,800.0,200.0
160990,3973,37177,1000,800.0,200.0
158222,4229,45358,1000,800.0,200.0
156215,11337,130434,1000,1000.0,0.0
154260,11797,136900,1000,1000.0,0.0
151614,11726,135014,1000,1000.0,0.0
146338,13357,127050,1000,1000.0,0.0
43107,3461,5382,2000,0.0,2000.0
45490,3568,5047,2000,0.0,2000.0
46023,3122,5306,2000,0.0,2000.0
45323,2759,5101,2000,0.0,2000.0
140470,3257,5241,2000,400.0,1600.0
140470,3301,4661,2000,400.0,1600.0
139192,2960,5029,2000,400.0,1600.0
141749,3208,5037,2000,400.0,1600.0
126924,2455,7908,2000,800.0,1200.0
126430,2604,6996,2000,800.0,1200.0
127269,2453,7420,2000,800.0,1200.0
128478,2255,7269,2000,800.0,1200.0
85100,1419,5776,2000,1200.0,800.0
88741,1500,6877,2000,1200.0,800.0
84277,1421,6016,2000,1200.0,800.0
84983,1514,5585,2000,1200.0,800.0
76459,2427,22579,2000,1600.0,400.0
75190,2638,18963,2000,1600.0,400.0
73922,2726,20179,2000,1600.0,400.0
75190,2646,19907,2000,1600.0,400.0
58628,6496,112636,2000,2000.0,0.0
65458,6253,113682,2000,2000.0,0.0
63538,6264,123407,2000,2000.0,0.0
65300,6456,110420,2000,2000.0,0.0
19213,5845,5347,5000,0.0,5000.0
17240,5518,6089,5000,0.0,5000.0
20091,5284,5575,5000,0.0,5000.0
18075,4491,6193,5000,0.0,5000.0
30024,4490,5580,5000,1000.0,4000.0
27643,4751,4938,5000,1000.0,4000.0
28833,5577,5399,5000,1000.0,4000.0
28833,5698,5754,5000,1000.0,4000.0
32547,2490,4065,5000,2000.0,3000.0
31058,2558,4230,5000,2000.0,3000.0
32024,2498,4227,5000,2000.0,3000.0
33129,2523,4398,5000,2000.0,3000.0
23237,968,2166,5000,3000.0,2000.0
20515,1082,2153,5000,3000.0,2000.0
22314,926,2382,5000,3000.0,2000.0
22528,910,2174,5000,3000.0,2000.0
22262,1446,5923,5000,4000.0,1000.0
22396,563,7454,5000,4000.0,1000.0
22396,1692,6023,5000,4000.0,1000.0
22530,1443,6310,5000,4000.0,1000.0
23331,4241,140303,5000,5000.0,0.0
22633,4527,127464,5000,5000.0,0.0
22655,4467,144188,5000,5000.0,0.0
23115,4286,149312,5000,5000.0,0.0
